mes,cbh (m) (Cloud base height),d2m (K) (2 metre dewpoint temperature),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),t2m (°C) (2 metre temperature),d2m (°C) (2 metre dewpoint temperature),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance),ano
1,848.4412216666666,295.59432999999996,297.4729783333333,0.7863809600000001,0.37293659166666665,0.4119248583333333,0.8955067883333333,50.47132933333334,50.15591083333334,0.00975614455,-4.0178342e-05,92.70227583333333,272.8845083333333,411.92631,392.53695166666665,183.40242166666667,317.6364416666667,23.172811999999997,100.4779135,30.737583833333332,-49.528122333333336,-153.65291333333332,267.4976716666667,22.773359666666664,447.8309883333333,206.26095999999998,-268.4604366666667,-265.0985933333333,376.4723966666667,0.00011291772666666666,-6.620744966666667e-05,292.6843333333333,282.2943194284259,24.322987666666666,22.44433583333333,58.83763166666666,240.9899784300942,-0.3359438533333334,1992.5
2,834.27956,295.4885433333333,297.276105,0.8346238516666666,0.3749889066666667,0.44711540666666666,0.9227255866666667,51.22820466666667,50.879269666666666,0.010678043666666666,-3.8841642666666665e-05,83.34632916666666,277.02167833333334,412.4056616666667,392.33477,176.43126833333335,320.2152633333333,22.4762985,97.13492483333333,29.452258666666665,-48.89156666666667,-148.30146,270.68282500000004,22.1471925,449.0348966666666,198.97571833333333,-267.2590083333333,-260.09972,379.20278666666667,0.00012358854,-8.057115233333334e-05,320.341305,308.97135426736594,24.126108666666667,22.338551833333337,61.12400366666666,273.39335006611265,-0.43291727583333334,1992.5
3,799.229015,295.67758499999997,297.57471333333336,0.7705892900000001,0.38435531333333334,0.37114631000000003,0.8817377683333333,50.69853483333333,50.42071083333334,0.008910211166666666,-4.0738547666666664e-05,93.72399733333333,268.9955966666667,412.6582633333333,393.8367666666666,184.616315,310.6573716666667,23.398341666666667,101.87877816666666,30.878868333333333,-49.10516366666667,-156.30676333333335,264.4169083333333,23.609069,435.4920683333333,209.90654666666669,-270.0201416666667,-264.9928816666666,369.3182366666667,0.00010312737833333335,-5.533349033333334e-05,267.3063216666667,257.81844366671675,24.42471833333333,22.527593166666666,55.08633683333333,211.08595249138307,-0.059950515,1992.5
4,727.29709,295.913685,297.8326983333333,0.6726614633333333,0.39044339333333333,0.2955053816666667,0.8234819933333334,49.679435833333336,49.47424183333334,0.007060475483333333,-4.18087855e-05,105.71376666666667,245.10372833333335,412.11304666666666,395.09209166666665,185.64828166666666,285.608355,23.142111666666665,104.55525583333333,32.205931166666666,-48.73638483333334,-159.14363,245.71817166666668,22.102575666666667,404.53447,228.7869916666667,-274.1377816666666,-260.83900166666666,344.18103666666667,8.1717524e-05,-3.2028272e-05,211.8142683333333,204.2938103841152,24.682703333333333,22.763697166666663,32.0520125,131.51069881184958,0.27986780333333333,1992.5
5,982.90238,295.59853166666664,298.012275,0.47565542833333335,0.29125042,0.23359026166666666,0.6570203533333333,45.585908499999995,45.43855283333334,0.0043158023166666665,-4.07780985e-05,117.14770983333334,209.41506166666667,406.4522533333334,392.58464166666664,184.82655,253.36279333333334,22.175671333333337,101.97757,37.8032355,-51.23229366666666,-159.584685,219.13830499999997,19.754024166666667,369.43809000000005,250.27393166666664,-279.4299466666667,-253.99058833333333,312.29004333333336,4.995078733333334e-05,-1.274473999999987e-07,129.474071,124.87696797810106,24.8622845,22.448537333333334,3.716656970166666,26.566196035962395,0.04985682583333332,1992.5
6,1864.4593333333335,293.52218,298.42965,0.25451554000000004,0.104159833,0.184149985,0.42453050166666667,37.02200233333333,36.95215366666667,0.000905560275,-3.870328316666667e-05,143.7937016666667,188.84823833333334,393.139875,383.78155833333335,200.89714833333335,236.0079916666667,23.072899833333334,96.78914283333334,52.200618666666664,-61.0866155,-173.4942166666667,203.81561833333333,23.866608,349.8441516666667,275.75677,-286.10859666666664,-262.36968,292.661785,1.04796501e-05,3.8533254e-05,27.166808166666666,26.199125121214212,25.279652666666667,20.3721875,-13.387087416666667,-84.61495162032224,0.63785046,1992.5
7,2103.7843,291.5865983333333,298.5199383333333,0.14271087766666665,0.06834722116666667,0.18849085,0.3293793116666667,32.464413,32.406530333333336,0.0006110399666666667,-3.5500354166666666e-05,155.06515333333334,196.22851666666668,385.64527666666663,376.3346933333333,212.31394,244.41623166666668,24.24115,88.77916566666666,60.510376666666666,-69.33720116666666,-183.1426283333333,210.79429666666667,32.68658933333334,357.4877066666666,281.71947,-289.69494333333336,-271.07173,298.85031666666663,7.0716987999999994e-06,3.8994699000000005e-05,18.331199116666667,17.679247150681476,25.369939333333335,18.436604666666668,-10.647740783333333,-82.91415571186735,1.1664949966666667,1992.5
8,2507.465133333333,291.40733833333337,299.4712533333333,0.178953228,0.038629400333333334,0.18601644166666667,0.34396530833333333,31.798831500000002,31.736966833333337,0.0005567893748333333,-3.64125415e-05,167.90163333333334,211.600635,388.141915,379.1831683333333,231.16925666666666,265.3887466666667,26.383974,91.06009999999999,64.16692766666667,-72.70458533333333,-198.06840166666666,227.3486383333333,40.504225166666664,386.93302833333337,279.76065166666666,-291.1088666666667,-293.16531000000003,322.902015,6.444127038333333e-06,3.7668019e-05,16.703681283333335,16.110317684336906,26.321263666666667,18.257344666666665,13.404662933333332,-63.882270358875985,2.3371480333333334,1992.5
9,1940.209,294.12246,299.39519333333334,0.42402108833333335,0.12353094433333334,0.19305002833333332,0.5641067233333333,40.181243333333335,40.06668416666667,0.0026291610833333334,-4.13920505e-05,163.86934499999998,236.16151333333335,402.1959566666667,392.12588166666666,235.57456000000002,290.4926533333333,27.75358,103.51304483333332,52.075781,-61.868841499999995,-198.68606499999999,245.11331499999997,41.74408866666666,419.6984166666667,257.2596183333333,-282.644885,-303.88724333333334,350.10725333333335,3.0429794066666668e-05,1.642150575e-05,78.874834,76.07448424096219,26.245198333333335,20.972463166666667,46.62762166666667,17.835914981318638,1.3531455899999998,1992.5
10,1572.97915,295.4353966666667,299.0528583333333,0.5422473083333333,0.16729820833333334,0.20450381833333334,0.662880215,43.82904299999999,43.68250033333334,0.003978277333333334,-4.64995855e-05,165.186515,259.18036333333333,407.47011833333335,396.4260733333333,241.70108833333333,310.06980666666664,29.13487616666667,116.28575066666667,45.92083766666667,-56.787754500000005,-202.52698,260.11688499999997,39.569122,440.38079,243.997295,-280.00964,-311.339525,368.09285,4.604423949999999e-05,4.0666085e-06,119.34832116666666,115.11059862338395,25.9028675,22.28540033333333,67.34223433333334,65.41581445895524,0.7512703033333333,1992.5
