date;Tmax;Tmin;Ta;pa;HR;prec;Ki;Ki-dif;Rn;Hc1;LEc1;G;vento;direcao;FC_diurno;FC_noturno;NEE;NEE_diu;NEE_not;prec_p;prec_era;udir_p;Ta_era;HR_era;e_era;vento_era;udir_era;pa_era;Ki_era
02/01/2002;29.02;23.58;NA;NA;84.01;0;NA;NA;NA;NA;NA;NA;NA;NA;-3.55;1.33;NA;-2.12;3.4;0;7.24;89.74;26.17;84.01;28.3;1.59;-18.42;992.49;270.99
03/01/2002;26.39;23.55;23.32;978.18;92.47;25.39;35.96;34.86;NA;NA;NA;NA;NA;NA;-1.76;2.84;NA;1.14;3.98;25.39;1;65.49;24.64;92.47;28.65;1.18;0.02;993.48;290.01
04/01/2002;26.74;23.33;24.56;978.48;91.41;0;102.89;89.79;NA;NA;NA;NA;NA;NA;-3.12;3.81;0.57;-5.42;6.56;0;0.88;64.08;24.91;91.41;28.76;0.91;-33.96;993.66;279.16
05/01/2002;28.16;23.19;24.73;978.37;89.52;5.08;132.62;93.89;NA;NA;NA;NA;NA;NA;-5.52;4.79;-0.43;-7.51;6.66;5.08;9.52;107;25.05;89.52;28.34;1.34;23.67;994.19;260.44
06/01/2002;27.64;23.3;23.1;977;91.19;4.32;60.3;58.27;NA;NA;NA;NA;NA;NA;-0.82;6.73;NA;-1.22;6.98;4.32;7.17;129.11;24.98;91.19;NA;1.51;50.54;993.68;283.71
07/01/2002;27.54;23.63;23.33;976.91;87.33;8.63;94.99;81.09;NA;NA;NA;NA;NA;NA;-4.46;6.43;NA;-5.65;5.74;8.63;4.94;87.44;25.44;87.33;28.33;2.05;50.89;992.78;294.09
08/01/2002;25.42;23.09;22.72;976.9;93.32;15.48;127.17;90.34;NA;NA;NA;NA;NA;NA;-9.71;3.99;NA;-9.76;4.76;15.48;22.46;82.75;24.09;93.32;28;1.24;21.33;993.1;203.6
09/01/2002;29.11;22.33;25.36;976.56;81.18;0.25;192.2;93.13;NA;NA;NA;NA;NA;NA;-5.75;4.3;NA;-5.28;6.99;0.25;9.02;72.44;25.91;81.18;26.86;1.79;-5.2;992.83;170.61
10/01/2002;27.39;23.44;NA;975.84;83.88;5.59;NA;NA;NA;NA;NA;NA;NA;NA;-7.99;10.69;NA;-10.38;11.59;5.59;0.01;73.4;25.46;83.88;27.21;1.88;18.9;993.26;228.94
11/01/2002;28.7;24.1;NA;975.2;80.11;0;NA;NA;NA;NA;NA;NA;NA;NA;-7.57;6.02;NA;-5.43;7.64;0;1.09;70.18;26.11;80.11;27.05;1.61;-17.34;993.99;173.54
12/01/2002;29.67;23.29;24.46;975.46;83.98;8.62;182.14;82.09;NA;NA;NA;NA;NA;NA;-4.31;7.5;1.98;-6.41;9.32;8.62;5.26;88.14;25.91;83.98;27.88;1.8;12.51;993.86;129.84
13/01/2002;27.98;23.1;24.35;975.72;85.87;25.15;114.5;78.14;NA;NA;NA;NA;NA;NA;-3.19;5.71;2.43;-3.34;7.48;25.15;20.24;141.36;25.36;85.87;27.67;1.86;20.83;993.45;82.73
14/01/2002;28.5;22.92;24.38;976.28;85.7;7.62;168.6;93.98;NA;NA;NA;NA;NA;NA;-4.9;7.27;2.47;-5.64;9.57;7.62;12.57;142.22;25.35;85.7;27.62;1.72;54.55;993.65;167.22
15/01/2002;28.22;22.56;23.42;976.78;89.76;10.92;113.39;94.29;NA;NA;NA;NA;NA;NA;-4.51;4.38;NA;-5.91;5.27;10.92;10.09;78.15;24.66;89.76;27.65;0.95;-25.04;992.69;194.09
16/01/2002;27.67;23.3;22.34;976.49;89.08;59.94;36.59;35.43;NA;NA;NA;NA;NA;NA;1.13;-0.03;NA;3.47;4.78;59.94;3.81;84.44;25.2;89.08;28.49;0.91;5.94;991.67;116.03
17/01/2002;28.01;23.07;24.4;976.47;86.52;0;197.1;86.93;NA;NA;NA;NA;NA;NA;-5.66;3.32;-1.31;-8.85;6.23;0;0.54;106.26;25.48;86.52;28.09;1.55;25.46;992.13;194.05
18/01/2002;29.56;23.69;25.87;975.52;80.69;3.04;197.9;63.21;NA;NA;NA;NA;NA;NA;-2.39;5.01;1.46;-4.27;7.19;3.04;0.55;105.75;26.55;80.69;27.82;2.2;46.58;992.06;130.74
19/01/2002;28.04;22.86;25.64;975.57;87.25;0.76;189.61;84.17;NA;NA;NA;NA;NA;NA;-5.66;6.98;0.61;-5.72;7.85;0.76;15.67;68.26;25.24;87.25;NA;1.47;20.38;992.44;84.76
20/01/2002;26.46;22.46;NA;977.09;92.9;32;24.02;23.56;NA;NA;NA;NA;NA;NA;10.77;6.98;NA;4.63;4.4;32;11.69;110.62;23.86;92.9;27.48;1.43;-6.13;993.82;203.92
21/01/2002;29.13;22.76;NA;978.31;83.34;0;202.48;81.56;NA;NA;NA;NA;NA;NA;-7.22;1.84;NA;-7.19;5.39;0;7;86.66;25.4;83.34;26.78;1.97;0.78;994.54;270.28
22/01/2002;29.08;23.14;25.21;978.55;82.11;0.25;164.12;93.72;NA;NA;NA;NA;NA;NA;-3.31;6.68;1.88;-5.44;9.2;0.25;8.24;101;25.84;82.11;27.2;2.21;4.92;994.83;258.17
23/01/2002;29.51;23.48;NA;978.16;82.95;0;230.96;56.45;NA;NA;NA;NA;NA;NA;-5.64;4.62;NA;-4.01;7.57;0;22.09;126.05;25.7;82.95;27.28;2.33;25.58;994.59;215.72
24/01/2002;29.1;23.17;NA;976.75;81.97;0;197.48;75.96;NA;NA;NA;NA;NA;NA;-6.62;11.88;NA;-8.08;10.98;0;17.68;130.04;25.93;81.97;27.29;2.25;45.2;993.51;220.11
25/01/2002;29.58;22.94;NA;976.97;80.84;2.29;169.82;86.35;NA;NA;NA;NA;NA;NA;-7.7;2.24;NA;-6.24;5.67;2.29;22.59;95.6;26.19;80.84;27.29;2.62;54.57;993.23;294.35
26/01/2002;28.5;23.44;NA;976.92;84.59;0;154.76;102.89;NA;NA;NA;NA;NA;NA;-5.26;9.07;NA;-8.52;11.06;0;4.28;152.61;25.56;84.59;27.61;2.81;65.72;993.63;283.27
27/01/2002;29.53;23.57;NA;976.25;80.93;6.35;159.51;95.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.35;1.07;113.03;26.41;80.93;27.77;2.73;61.75;992.91;296.49
28/01/2002;29.26;24.33;NA;975.63;81.3;1.27;NA;NA;NA;NA;NA;NA;NA;NA;NA;15.37;NA;NA;13.71;1.27;10.8;129.43;26.57;81.3;28.15;2.34;57.65;992.4;291.07
29/01/2002;29.56;23.35;25.8;975.24;82.81;0;190.71;73.52;NA;NA;NA;NA;NA;NA;-5.11;9;2.31;-6.23;10.85;0;20.72;158.81;25.86;82.81;27.47;2.62;60.46;992.31;213.57
30/01/2002;29.02;24.28;NA;NA;80.32;0;NA;NA;NA;NA;NA;NA;NA;NA;-6.86;13.46;NA;-9.94;12.06;0;12.98;115.92;26.03;80.32;26.99;3.23;64.8;992.42;224.86
31/01/2002;29.76;24.16;NA;NA;77.52;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.54;14.76;84.65;26.69;77.52;26.97;2.67;51.2;992.52;285.53
01/02/2002;29.34;24.31;NA;NA;83.7;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;6.98;NA;NA;7.87;0;5.43;75.74;25.94;83.7;27.92;2.1;29.88;993.67;213.03
02/02/2002;29.5;23.62;25.36;976.73;81.13;1.52;159.38;104.57;NA;NA;NA;NA;1.93;56.86;-5.89;4.9;-0.23;-7.96;7.5;1.52;12.57;109.26;26.33;81.13;27.66;1.94;31.35;993.75;186.21
03/02/2002;28.39;23.4;26.18;976.48;84.1;0;201.32;73.49;NA;NA;NA;NA;3.07;63.07;-4.04;4.5;-0.66;-6.28;6.09;0;1.07;62.78;25.77;84.1;27.76;1.66;10.84;993.8;264.84
04/02/2002;29.49;23.11;26.09;976.36;79.07;0;239.43;41.25;NA;NA;NA;NA;NA;NA;-7.12;6.69;NA;-5.42;8.52;0;0.4;59.04;26.18;79.07;26.61;2.9;45.14;993.3;260.78
05/02/2002;29.31;23.93;25.35;977.01;78.5;0.76;185.05;71.93;NA;NA;NA;NA;2.83;64.9;-8.79;7.66;-0.93;-9.04;7.17;0.76;0.33;73.73;26.51;78.5;27;2.68;42.01;993.46;281.07
06/02/2002;27.83;23.49;NA;976.44;85.04;9.39;194.34;74.52;NA;NA;NA;NA;NA;NA;-3.01;9.37;NA;-2.97;10.01;9.39;5.79;88.1;25.49;85.04;27.67;2.98;60.08;993.33;255.54
07/02/2002;29.68;23.55;24.99;975.94;75.26;21.6;186.3;76.5;NA;NA;NA;NA;NA;NA;-9.99;6.46;-1.64;-10.98;9.03;21.6;4.96;75.25;26.43;75.26;25.64;3.18;42.58;992.87;206.47
08/02/2002;27.19;22.91;NA;977.47;87.85;61.46;NA;NA;NA;NA;NA;NA;NA;NA;3.38;8.57;NA;7.05;9.38;61.46;6.3;93.06;24.4;87.85;26.78;2.1;22.52;993.91;208.86
09/02/2002;26.98;22.5;23.5;977.81;84.52;0;156.89;98.81;NA;NA;NA;NA;3.03;79.08;-8.01;8.82;0.71;-8.54;9.96;0;30.61;93.39;24.59;84.52;26.05;2.5;22.64;993.93;52.73
10/02/2002;28.22;23.35;25.09;976.74;82.73;0;216.33;58.94;NA;NA;NA;NA;NA;NA;-7.69;5.48;-0.38;-9.42;8.67;0;5.98;128.89;25.51;82.73;26.89;1.88;18.02;993.48;245.32
11/02/2002;24.95;22.84;22.71;977.22;93.27;27.68;108.98;85.81;NA;NA;NA;NA;NA;NA;-4.2;10.98;NA;-6.28;7.92;27.68;4.61;187.5;23.53;93.27;27.06;1.76;51.14;993.77;262.88
12/02/2002;26.88;22.82;23.51;977.01;86.13;2.78;148.35;93.28;NA;NA;NA;NA;NA;NA;-10.55;7.78;NA;-10.97;10.52;2.78;4.03;111.64;24.71;86.13;26.7;2.15;63.74;993.9;274.17
13/02/2002;29.06;23.16;24.32;976.6;83.99;0;197.68;66.27;NA;NA;NA;NA;3.18;80.72;-7.2;9;0.94;-8.09;9.96;0;0.29;79.82;25.42;83.99;27.2;2.39;33.26;993.6;263.34
14/02/2002;28.1;23.31;24.42;976.98;86.76;0;123.54;95.71;NA;NA;NA;NA;2.3;71.45;-6.43;5.7;-0.31;-9.53;8.9;0;10.89;71.39;25.1;86.76;27.59;2.68;53.05;993.71;186.09
15/02/2002;27.92;23.01;24.17;977.59;86.12;5.72;138.33;93.88;NA;NA;NA;NA;2.46;77.48;-5.63;7.24;1.05;-6.39;8.49;5.72;0.69;84.18;25.18;86.12;27.51;2.66;71.61;994.43;286.34
16/02/2002;29.29;23;24.39;977.3;85.24;7.75;148.79;72.2;NA;NA;NA;NA;2.34;82;-5.6;9.35;1.62;-5.86;10.18;7.75;11.78;91.39;25.64;85.24;27.88;2.47;55.3;994.4;209.84
17/02/2002;28.5;22.97;24.45;977.07;88.21;4.26;136.5;66.55;NA;NA;NA;NA;NA;NA;-5.18;3.78;-0.33;-8.36;7.69;4.26;4.51;114.2;25.13;88.21;28.02;2.08;43.78;994.01;202.44
18/02/2002;28.16;23.18;24.75;975.64;88.55;9.47;156.72;79.99;NA;NA;NA;NA;NA;NA;-2.08;5.98;NA;-7.79;7.31;9.47;0.23;112.07;25.25;88.55;NA;2.04;50.91;992.8;230.77
19/02/2002;28.61;23.44;24.74;975.66;88.4;5.32;162.47;80.15;NA;NA;NA;NA;NA;NA;-5.74;6.59;0.79;-7.02;8.59;5.32;0.43;95.53;25.6;88.4;NA;2.29;64.23;992.69;233.14
20/02/2002;27.05;23.06;24.6;975.68;88.55;16.76;143.74;61.77;NA;NA;NA;NA;NA;NA;-3.66;3.76;NA;-5.45;7.02;16.76;5.42;62.29;25;88.55;27.99;2.5;33.09;992.98;113.86
21/02/2002;29.47;23.27;NA;974.89;84.64;6.35;NA;NA;NA;NA;NA;NA;NA;NA;-6.3;10.83;NA;-7.68;11.28;6.35;16.94;83.79;25.92;84.64;28.17;2.31;60.71;992.33;86.83
22/02/2002;29.97;23.28;NA;974.16;82.56;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;12.22;91.96;26.55;82.56;28.31;1.48;14.75;991.26;160.67
23/02/2002;29.62;24.1;NA;975.4;82.87;11.68;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;11.68;15.85;113.14;26.97;82.87;NA;1.47;-8.65;992.35;183.74
24/02/2002;29.7;24.22;NA;976.62;85;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;3.28;104.52;26.75;85;NA;1.2;-5.31;993.65;211.43
25/02/2002;28.85;23.61;NA;976.28;85.96;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.15;70.64;25.93;85.96;28.62;1.41;-9.67;993.46;223.5
26/02/2002;28.98;23.25;NA;975.16;85.34;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1.1;111.05;25.84;85.34;28.26;2.19;58.05;992.56;204.86
27/02/2002;30.06;23.79;NA;975.14;81.43;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;12.3;91.69;26.62;81.43;28.19;2.59;56.66;992.07;103.66
28/02/2002;29.86;24.55;NA;974.72;80.11;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0.95;119.25;26.87;80.11;28.22;2.76;61.32;991.91;191.87
01/03/2002;27.63;23.36;NA;975.76;87.14;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1.13;140.12;25.2;87.14;27.88;2.21;41.76;993.17;226.23
02/03/2002;28.8;22.77;NA;976.29;84.74;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;6.29;111.98;25.6;84.74;27.55;1.88;-1.39;993.34;241.35
03/03/2002;27.52;23.26;NA;976.44;89.96;0;NA;NA;NA;NA;NA;NA;NA;NA;-5.2;3.78;NA;-3.92;6.9;0;12.47;87.52;24.59;89.96;27.75;0.82;-18.82;993.17;217.13
04/03/2002;26.94;22.76;23.1;977.87;89.47;37.09;112.62;60.41;30.72;4.97;26.24;-4.39;NA;NA;-5.42;0.77;NA;-9.44;3.72;37.09;0.18;148.29;24.37;89.47;27.2;1.29;14.58;994.02;272.31
05/03/2002;28.69;22.6;23.71;978.31;83.3;2.03;169.56;51.28;133.9;32.59;101.32;-2.32;0.82;-79.91;-6.26;6.47;-0.58;-8.54;7.37;2.03;0.52;131.38;25.61;83.3;27.18;1.41;38.61;994.03;287.76
06/03/2002;27.25;23.33;23.25;978.09;88.34;0.76;140.04;69.14;86.27;17.54;67.66;-3.27;NA;NA;-6.44;3.8;-0.73;-8.73;7.26;0.76;0.19;148.34;24.76;88.34;27.57;1.45;40.65;993.75;269.32
07/03/2002;28.53;22.57;23.86;978.2;85.12;1.26;139.84;58.27;104.97;23.73;83.11;-2.9;NA;NA;-5.81;6.62;0.5;-7.95;8.95;1.26;2.02;120.43;25.16;85.12;27.1;1.8;54.66;994.07;274.8
08/03/2002;29.22;22.87;25.06;978.06;81.12;0.25;171.44;56.75;120.41;24.02;99.34;-2.59;NA;NA;-6.36;7.82;0.54;-7.51;8.59;0.25;1.48;123.39;26.17;81.12;27.38;2.42;56.18;994.12;262.7
09/03/2002;28.62;23.49;25.1;978.13;85.07;4.33;218.1;27.89;175.08;43.48;132.5;-1.5;2.81;62.56;-6.34;9.14;1.02;-7.46;9.5;4.33;0.43;94.27;25.76;85.07;27.94;2.47;21.48;994.49;284.08
10/03/2002;26.87;23.42;24.02;978.26;89.59;17.27;162.9;48.08;135.88;26.43;106.65;-2.28;NA;NA;-8.82;5.18;NA;-9.12;8.03;17.27;0.07;179.46;24.72;89.59;27.76;1.56;34.98;994.41;287.49
11/03/2002;27;23.13;23.59;977.56;88.17;4.83;98.26;61.09;64.42;6.17;60.8;-3.71;NA;NA;-2.15;7.59;3.21;-4.55;10;4.83;0.05;95.98;24.85;88.17;27.62;1.33;31.2;994.34;291.18
12/03/2002;29.59;23.22;25.15;978.38;84.56;0;214.89;33.44;177.51;57.07;121.26;-1.45;1.11;-76.49;-5.16;5.73;0.36;-8.2;8.91;0;0.01;135.99;25.91;84.56;28.08;1.51;11.52;994.54;267.89
13/03/2002;27.78;23.46;24.79;977.87;86.87;16.25;NA;NA;135.9;26.69;102.25;-2.28;NA;NA;-4.89;1.36;NA;-8.93;3.1;16.25;0;108.13;25.5;86.87;28.18;1.81;6.58;994.46;269.18
14/03/2002;29.39;24.16;24.26;976.52;84.22;3.04;186.23;NA;131.84;9.86;123.49;-2.36;2;82.22;-5.53;6.76;0.89;-6.92;8.69;3.04;2.13;85.43;26.09;84.22;28.36;2.45;20.52;993.06;268.58
15/03/2002;29.22;22.71;25.18;976.63;85.36;2.53;192.93;35.61;138.25;19.7;113.83;-2.23;NA;NA;-6.66;3.7;-0.84;-8.25;6.57;2.53;6.19;84.57;25.55;85.36;27.77;2.28;32.57;993.39;193.42
16/03/2002;28.54;22.81;24;977.19;86.62;23.88;132.41;44.49;95.93;23.17;71;-3.08;NA;NA;-2.48;7.99;NA;-3.67;7.67;23.88;0.62;118.54;25.35;86.62;27.9;2.42;52.73;993.65;226.1
17/03/2002;29.21;23.62;24.41;976.28;82.26;8.39;162.24;51.57;128.38;28.43;100.72;-2.43;NA;NA;-7.91;6.39;0.14;-9.41;8.5;8.39;3.98;72.54;26.11;82.26;27.7;2.26;64.52;992.76;250.84
18/03/2002;29.07;24.18;25.3;975.61;83.62;0.51;184.01;35.99;114.88;17.45;96.69;-2.7;NA;NA;-5.78;5.9;-0.22;-8.56;8.11;0.51;2.16;103.43;26.27;83.62;28.49;2.19;48.05;992.35;237.98
19/03/2002;28.45;23.07;24.73;974.95;86.57;6.35;155.1;52.54;116.1;15.48;97.46;-2.68;1.66;76.32;-5.33;9.43;1.85;-6.91;10.61;6.35;1.21;109.39;25.52;86.57;28.18;1.67;16.03;991.73;247.99
20/03/2002;29.26;23.52;25.68;975.1;86.12;0.51;172.56;43.24;117.95;16.68;101.78;-2.64;NA;NA;-5.19;7.05;1.33;-7.19;9.84;0.51;4.36;97.73;25.69;86.12;28.26;1.85;27.03;992.2;257.22
21/03/2002;28;22.96;24.75;975.82;90.37;7.61;110.57;62.12;81.08;NA;NA;-3.38;NA;NA;-4.55;6.67;0.83;-5.19;6.85;7.61;34.07;108.62;24.57;90.37;27.84;1.92;-5.12;993.06;85.33
22/03/2002;26.71;23.14;22.94;977.04;92.32;76.22;54.88;49.19;30.53;4.32;26.58;-4.39;NA;NA;-11.89;0.68;NA;-11.69;3.96;76.22;0.38;111.36;24.24;92.32;27.91;1.73;2.39;993.4;156.04
23/03/2002;25.36;22.75;NA;977.56;91.45;0;NA;NA;NA;NA;NA;NA;NA;NA;-5.45;2.61;NA;-8.6;4.84;0;0.28;88.77;23.93;91.45;27.15;2.58;64.79;994.51;235.61
24/03/2002;27.2;22.7;NA;977.16;90.94;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;14.45;162.46;24.23;90.94;27.51;2.93;31.44;994.28;147.54
25/03/2002;28.8;22.82;NA;976.59;81.78;0;NA;NA;NA;NA;NA;NA;NA;NA;-7.14;1.72;NA;-4.69;6.13;0;5.08;118.98;25.59;81.78;26.6;2.55;25.61;993.17;111.72
26/03/2002;28.9;24.73;25.18;976.74;75.24;0;195.29;20.32;152.31;26.73;134.47;-1.96;2.49;73.32;-9.54;2.93;-3.77;-12.36;4.81;0;1.33;82.18;26.29;75.24;25.61;2.41;25.61;992.7;205.59
27/03/2002;28.62;23.98;24.3;976.13;81.19;6.36;138.61;54.71;85.75;9.97;75.99;-3.28;2.4;-72.4;-5.31;5.64;-0.31;-8.02;7.4;6.36;4.43;106.35;25.73;81.19;26.81;2.46;-16.1;992.51;185.54
28/03/2002;28.05;23.18;24.24;975.94;84.11;0;206.87;25.99;165.84;45.34;118.36;-1.68;2.87;89.06;-8.42;7.45;-0.4;-10.74;9.93;0;1.89;89.17;25.43;84.11;27.21;2.93;-12.7;992.41;194.54
29/03/2002;29.41;23.74;23.77;975.49;81.8;11.68;80.24;46.58;52.2;NA;NA;-3.96;NA;NA;-0.43;6.3;NA;-4.98;9.08;11.68;0;66.75;26.34;81.8;27.91;1.93;31.51;991.96;265.6
30/03/2002;29.83;24.39;24.02;975.72;82.23;17.29;172.69;38.8;131.68;30.02;86.45;-2.37;2.03;76.59;-4.36;7.19;1.67;-5.74;9.09;17.29;0;99.05;26.36;82.23;28.13;2.67;62.6;992.4;284.38
31/03/2002;27.72;23.92;23.52;977.02;89.15;4.06;67.22;48.76;47.11;NA;NA;-4.06;NA;NA;0.56;7.78;3.51;-2.35;9.37;4.06;0;107.74;24.96;89.15;28.15;2.56;37.42;993.44;259.36
01/04/2002;28.64;23.58;24.21;975.91;86.47;0.25;193.85;25.91;157.2;40.25;118.84;-1.86;NA;NA;-10.84;4.79;NA;-10.51;8.39;0.25;0;93.2;25.56;86.47;NA;2.7;62.37;992.65;250.38
02/04/2002;28.92;23.47;23.74;975.67;86.3;14.23;61.66;41.9;42.56;NA;NA;-4.15;NA;NA;-0.59;5.73;NA;-0.79;6.78;14.23;0.11;103.27;25.76;86.3;28.44;2.21;46.27;992.49;228.47
03/04/2002;28.4;23.64;NA;976.41;88.74;0;NA;NA;NA;NA;NA;NA;NA;NA;-8.39;11.45;NA;-11.86;10.82;0;2.72;93.09;25.49;88.74;28.8;2.21;32.22;993.68;188.09
04/04/2002;27.55;23.54;NA;976.71;89.54;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;1.9;103.33;25.12;89.54;NA;2.03;9.2;993.95;207.72
05/04/2002;28.16;23;NA;976.95;90.21;25.66;NA;NA;NA;NA;NA;NA;NA;NA;0.57;4.44;NA;2.35;7.32;25.66;0.06;174.82;24.62;90.21;27.83;1.25;28.88;993.6;200.22
06/04/2002;24.45;22.76;NA;976.63;95.07;26.41;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.35;NA;NA;5.05;26.41;0.21;127.01;23.53;95.07;27.58;1.1;1.07;993.14;200.25
07/04/2002;27.9;22.52;NA;975.78;88.07;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;4.86;91.81;24.86;88.07;27.52;1.46;13.62;992.55;190.99
08/04/2002;28.46;23.56;NA;975.33;85.73;6.1;NA;NA;NA;NA;NA;NA;NA;NA;-7.33;3.96;NA;-5.52;6.94;6.1;1.58;163.34;25.89;85.73;28.52;1.86;48.85;991.98;183.9
09/04/2002;26.8;22.74;24.69;975.87;89.43;30.48;188.84;17.07;151.7;29.22;119.98;-1.97;NA;NA;-5.89;6.56;NA;-8.44;8.03;30.48;0.64;96.05;24.88;89.43;27.93;1.95;25.48;993.03;182.86
10/04/2002;25.04;23.04;22.16;977.54;92.44;129.04;66.17;41.99;35.69;5.52;32.4;-4.29;NA;NA;-5.47;-0.25;NA;-4.24;7.93;129.04;0.17;135.77;24.03;92.44;27.64;1.87;31.34;993.29;219.16
11/04/2002;29.1;22.76;23.69;976.45;85.98;0.25;173.65;29.98;136.28;34.33;95.34;-2.27;NA;NA;-8.67;1.38;NA;-8.56;5.76;0.25;0;170.12;25.71;85.98;28.22;1.07;21.98;992.72;218.49
12/04/2002;29.79;23.69;24.84;976.31;81.45;0;181.35;18.4;118.3;22.6;94.01;-2.63;NA;NA;-8.07;8.08;-0.38;-9.89;9.13;0;0;73.42;26.43;81.45;27.87;1.7;58.41;992.39;253.77
13/04/2002;30.2;24.4;25.87;975.78;78.28;0;235.88;4.85;180.22;49.8;133.2;-1.4;2.76;69.09;-3.76;5.08;1.19;-5.83;8.22;0;0.56;74.3;27.05;78.28;27.74;2.23;59.43;992.43;217.72
14/04/2002;28.06;23.5;24.59;976.45;87.26;19.75;184.74;16.41;141.55;26.87;113.79;-2.17;1.3;-74.28;-4.7;6.49;-0.52;-7.22;7.14;19.75;0.86;153.13;25.44;87.26;NA;1.85;6;993.21;151.73
15/04/2002;26.95;22.91;22.9;978.16;90.31;54.95;138.09;36.99;100.34;NA;NA;-2.99;NA;NA;-12.9;1.85;NA;-12.74;5.78;54.95;0.01;176.15;24.63;90.31;27.95;1.27;16.61;994.04;204.11
16/04/2002;27.09;23.42;24.38;977.14;91.02;11.94;207.14;9.45;164.35;49.24;104.79;-1.71;NA;NA;-5.35;8.05;0.92;-7.02;8.87;11.94;0;140.33;24.9;91.02;NA;1.71;19.55;993.86;227.6
17/04/2002;29.28;23.5;23.89;976.57;85.72;20.84;143.3;34.94;108.66;25.11;77.5;-2.83;NA;NA;-5.84;4.92;NA;-8.44;8.01;20.84;0;130.26;25.78;85.72;28.3;1.78;4.65;993.24;242.52
18/04/2002;28.91;23.46;24.83;975.5;87.26;0.25;175.25;25.16;135;27.02;98.29;-2.3;NA;NA;-6.01;3.35;-1.25;-8.17;5.67;0.25;0;81.46;25.77;87.26;NA;1.32;11.56;992.38;218.1
19/04/2002;28.83;23.16;24.74;975.03;86.96;1.52;166.32;23.68;118.73;NA;NA;-2.62;NA;NA;-6.34;4.29;-1.79;-8.44;4.85;1.52;0.14;93.33;25.64;86.96;NA;1.73;-10.15;992.06;208.88
20/04/2002;28.74;23.6;24.17;974.74;87.12;0.76;147.61;21.28;114.18;NA;NA;-2.72;2.73;89.81;-3.68;7.7;2.71;-4.44;9.86;0.76;0;95.64;25.62;87.12;NA;2.01;24.94;991.45;230.84
21/04/2002;28.09;23.42;24.48;974.94;87.94;2.03;195.52;16.06;151.91;NA;NA;-1.96;NA;NA;-6.63;7.6;0.11;-8.07;8.29;2.03;0.64;85.36;25.34;87.94;28.35;1.95;-11.15;991.72;198.69
22/04/2002;27.9;23.98;24.5;974.72;88.19;4.71;137.99;37.08;98.71;NA;NA;-3.03;2.76;79.64;-7.32;8.1;-0.11;-8.5;9.47;4.71;0.25;82.18;25.68;88.19;NA;2.26;61;991.68;183.58
23/04/2002;27.73;23.68;23.57;975.25;90.78;22.97;127.12;40.31;98.03;NA;NA;-3.04;NA;NA;-7.48;4.41;NA;-8.7;7.36;22.97;0;106.27;24.91;90.78;28.55;2.12;67.96;991.79;227.17
24/04/2002;26.32;23.25;23.84;975.17;91.92;26.43;152.11;36.87;100.24;NA;NA;-3;NA;NA;-9.09;7.43;NA;-8.4;7.76;26.43;0;190.62;24.67;91.92;28.45;1.73;28.06;992.08;237.26
25/04/2002;29;23.63;24.32;975.93;86;0;135.15;41.68;102.42;NA;NA;-2.95;2.1;44.84;-6.55;6.33;0.52;-7.06;8.11;0;0;48.61;25.64;86;28.08;1.64;65.23;992.32;227.73
26/04/2002;29.05;23.21;24.81;975.87;84.94;26.17;162.46;22.95;102.51;NA;NA;-2.95;0.76;58.67;-5.88;3.3;NA;-9.4;6.42;26.17;0;137.44;25.83;84.94;28;1.2;24.48;992.92;217.33
27/04/2002;27.53;23.17;23.13;976.32;90.98;3.04;73.36;39.12;54.13;NA;NA;-3.92;NA;NA;-2.18;0.5;-0.58;-4.88;4.57;3.04;0.97;139.32;24.58;90.98;27.95;1.3;-5.44;993.53;206.32
28/04/2002;28.92;22.94;25.07;975.56;87.11;1.77;210.27;6.91;168.92;NA;NA;-1.62;NA;NA;-5.44;3.63;-1.18;-8.44;6.09;1.77;1.03;104.29;25.2;87.11;27.79;1.42;16;992.76;96.75
29/04/2002;28.51;23.46;24.94;976.31;86.56;1.01;167.02;19.41;NA;NA;NA;NA;NA;NA;-4.95;3.83;-0.57;-8.25;7.11;1.01;0;94.58;25.48;86.56;28.04;1.87;26.33;993.02;202.52
