time,cbh (m) (Cloud base height),d2m (K) (2 metre dewpoint temperature),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),t2m (°C) (2 metre temperature),d2m (°C) (2 metre dewpoint temperature),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance)
1990-01-01,818.1479,296.11984,299.10516,0.7531651,0.257874,0.26936254,0.8445434,52.227993,52.01826,0.0067825266,-4.3913416e-05,115.6125,264.42477,415.92883,401.73206,199.23578,303.944,24.838516,109.81899,35.93108,-49.465023,-171.01967,260.45547,26.135117,430.25458,219.29968,-271.32938,-280.09964,366.7003,7.849932e-05,-3.047605e-05,203.4758,196.24829292297363,25.95517,22.969849,60.799957,148.09477424621582,-0.86551666
1990-02-01,1056.9733,296.0788,298.41116,0.8962396,0.2663237,0.45269933,0.9473432,55.118534,54.80775,0.00989264,-4.067299e-05,89.530846,271.50372,418.33685,401.64847,181.07997,311.40942,23.256481,101.7144,31.402853,-47.344017,-155.31967,266.94366,22.588497,439.6523,190.03241,-267.69174,-265.32556,375.62103,0.000114496164,-6.528608e-05,296.7792,286.24041078728624,25.26117,22.928802,75.29315,260.2052354637999,-0.38607788
1990-03-01,836.4013,296.38202,298.6709,0.8150309,0.29398325,0.34157988,0.8922485,54.873608,54.55609,0.009976637,-4.101603e-05,90.802605,269.42664,418.3011,402.84872,180.95607,309.73734,23.031244,102.57301,31.63466,-46.364582,-155.55115,266.07193,21.641512,437.29767,202.53618,-269.82986,-266.57828,374.18338,0.00011547093,-6.9290676e-05,299.2991,288.67732908111066,25.520905,23.232025,64.0421,250.44444944243878,-0.29803467
1990-04-01,673.8752,296.71255,298.84058,0.8697857,0.34356973,0.27712074,0.9237003,55.36711,55.122185,0.008990195,-4.0812327e-05,90.38129,254.6026,420.31195,405.3749,175.91821,293.6509,22.327469,102.063034,30.651525,-44.866497,-152.19756,253.71863,19.69454,417.38602,205.49992,-272.8708,-259.49295,357.9165,0.000104051906,-5.8364814e-05,269.70584,260.1297637738753,25.690582,23.562561,53.993027,212.27129667182453,-0.21154785
1990-05-01,752.625,296.629,299.11203,0.5019329,0.27983132,0.22253488,0.6829854,50.33837,50.17495,0.005335979,-4.3360822e-05,121.057976,230.43883,415.8713,403.1028,190.67168,270.73938,23.403635,108.43682,36.09502,-48.196003,-166.33882,235.50853,22.156693,390.0798,248.19531,-279.25656,-267.1726,333.88153,6.175759e-05,-8.081654e-06,160.07938,154.39398339367472,25.962036,23.479004,18.977295,65.2841658887919,-0.34970856
1990-06-01,747.1554,296.32523,298.66696,0.4175584,0.252372,0.20799176,0.6284397,48.33278,48.191135,0.0038008273,-4.246896e-05,120.000244,209.51407,411.5665,399.46802,186.69287,253.52916,22.385206,106.20559,37.592342,-49.013252,-163.71715,221.55685,19.825066,373.69534,259.07916,-280.22147,-262.1711,318.64374,4.3990673e-05,7.218335e-06,114.02482,109.97668141499162,25.516968,23.175232,3.0919495,6.7688948549330235,0.09414673
1990-07-01,651.3264,295.7962,297.9131,0.34256655,0.32743827,0.24478166,0.62924063,46.66532,46.503937,0.005263353,-4.2577063e-05,114.29912,213.11948,408.51862,393.4722,184.62236,258.3629,22.122305,106.47689,36.84202,-51.016197,-162.24872,226.33931,19.752151,379.64496,254.90181,-278.5476,-262.36908,324.25003,6.091885e-05,-1.063389e-05,157.9006,152.2971251688432,24.763092,22.64621,7.46727,54.10985405067913,-0.8223419
1990-08-01,1282.1417,295.7963,299.14566,0.28967497,0.19066186,0.17930314,0.49361572,42.475727,42.37465,0.0022561392,-4.819729e-05,157.35373,225.58086,405.70367,395.63037,224.15349,275.42035,26.423538,120.53161,46.251602,-55.59948,-196.30585,240.30533,27.708971,402.71722,269.17004,-284.92764,-300.62015,343.3585,2.6111726e-05,3.5496058e-05,67.68418,65.27931418531807,25.995667,22.646301,31.450104,-25.615857933822554,1.8136673
1990-09-01,1328.8372,296.0445,299.91043,0.38390502,0.18363209,0.17020115,0.55751437,44.770557,44.65686,0.0027500936,-4.7838945e-05,171.3493,247.13397,410.72485,401.4926,238.64165,295.90445,28.623686,119.63601,46.395924,-55.235756,-206.96214,255.5252,39.253242,425.63498,263.88882,-284.28583,-315.21707,362.64154,3.1830714e-05,3.1873864e-05,82.50281,79.57678462844342,26.760437,22.8945,51.328247,9.592051046900451,1.6769714
1990-10-01,2231.4563,295.34256,301.43835,0.468372,0.08381363,0.14884205,0.5614088,44.19192,44.104866,0.0014435792,-4.6004643e-05,204.85033,262.32138,413.04456,406.8291,266.66666,307.6063,31.94712,115.04815,54.312775,-60.470722,-229.30077,263.41428,56.759575,434.95453,265.94434,-287.94443,-335.8733,369.69266,1.67081e-05,5.347532e-05,43.307377,41.770249481487554,28.28836,22.192566,69.928955,-6.52921188325854,3.1802673
1990-11-01,1923.6438,295.3129,300.89203,0.6732915,0.1276177,0.19097455,0.7372118,48.053364,47.905167,0.0034250894,-4.11646e-05,165.952,259.7691,415.92685,406.63806,235.46935,303.00882,28.70019,102.94431,48.532623,-57.689964,-201.75877,258.93713,49.709213,430.21393,239.85907,-279.3626,-308.7036,365.22864,3.9640832e-05,1.3417439e-05,102.75268,99.10208063956816,27.742035,22.162903,68.84454,64.42968684074003,0.5726242
1990-12-01,1208.6222,296.2259,299.3042,0.7859995,0.23568593,0.30445573,0.85117644,52.045963,51.76753,0.0076117883,-4.0504736e-05,109.34307,255.74759,417.66986,403.60602,192.09683,297.404,23.888472,101.2936,36.6862,-50.180088,-164.41643,254.46722,27.871702,424.59888,209.47769,-271.77832,-271.5813,360.73645,8.809911e-05,-4.3110205e-05,228.35365,220.24776626494713,26.154205,23.075897,62.103607,182.492852934869,-1.4350815
