mes,cbh (m) (Cloud base height),d2m (K) (2 metre dewpoint temperature),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),t2m (°C) (2 metre temperature),d2m (°C) (2 metre dewpoint temperature),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance),ano
1,873.8986,296.04747833333334,298.9363266666667,0.7538927366666667,0.29719453333333334,0.400230855,0.8633723066666666,53.363555,53.058249999999994,0.009024890766666667,-4.039829816666667e-05,99.9041615,257.50671166666666,417.6191083333333,401.4836983333333,182.77904166666667,301.67366166666665,23.053980499999998,101.02797,33.177798333333335,-48.58640716666667,-156.80830333333333,258.38598333333334,23.996245666666667,430.0904333333333,213.529615,-269.81385666666665,-264.73362000000003,364.64340999999996,0.00010445381583333334,-5.5661473833333336e-05,270.74672833333335,261.13454017225496,25.7863365,22.897486333333333,51.204004999999995,212.704281103448,-1.3937060008333333,1992.5
2,954.8729666666667,295.9453683333333,298.69221999999996,0.7850700416666667,0.27707198666666666,0.43632862,0.8895113233333333,53.8869735,53.588302166666665,0.008724424766666667,-4.1261825833333335e-05,101.02795099999999,266.067465,417.68097000000006,401.3850883333333,187.48851666666667,310.18526333333335,23.696264333333332,103.18719183333333,32.77052750000001,-48.31888133333334,-160.910255,265.73923666666667,25.557540333333336,439.5132983333333,209.64541,-269.42225833333333,-270.99425,373.645755,0.0001009758325,-5.169904716666667e-05,261.7327383333333,252.4395828610674,25.542226166666666,22.795374666666664,61.34883933333333,211.206233378849,-0.605005885,1992.5
3,861.0459633333334,296.23946166666667,298.6716,0.7925276083333334,0.3036258133333333,0.3910079016666667,0.88754731,54.9497135,54.63477966666667,0.009763511666666667,-4.147401483333333e-05,94.9008625,264.36481166666664,418.2447516666667,402.29233666666664,182.98001166666666,308.37728666666663,23.23368333333333,103.71784666666667,31.664911,-46.827774166666664,-157.4012283333333,264.78866,22.770541833333336,437.1488533333333,207.00796833333334,-269.1294983333333,-267.93902833333334,372.4976933333333,0.00011300317316666668,-6.22878635e-05,292.90535166666666,282.50793244903133,25.521606666666667,23.089467166666665,60.93105833333334,240.47321171030248,-0.7520701166666667,1992.5
4,750.3779766666667,296.5471933333333,298.80337833333334,0.7947919733333334,0.32364082499999997,0.35454710333333334,0.8875068,55.507298,55.23265633333333,0.00969254095,-4.1105618666666664e-05,93.6209275,249.723255,419.150985,403.814495,176.8677,292.3990833333333,22.38435133333333,102.79664133333334,30.908532666666662,-45.502199166666664,-153.03252,252.52906,19.933040000000002,417.2136183333334,211.31482333333335,-270.7779816666667,-259.28019666666665,356.2141433333333,0.0001121816985,-6.165261733333334e-05,290.77622833333334,280.4542449060439,25.653386333333334,23.397201666666664,47.96537083333333,226.22866723372135,-0.6056938183333332,1992.5
5,764.5252999999999,296.5879316666667,298.9806566666667,0.6102345083333333,0.29539327833333334,0.29529881666666663,0.7532532499999999,52.735574500000006,52.50510333333333,0.00766233325,-4.0909252999999996e-05,104.13347099999999,224.92543333333333,416.77626333333336,402.9353366666667,177.47449333333336,268.64207166666665,21.91945683333333,102.30577666666666,33.542106833333335,-46.716263833333336,-154.72803,233.62657666666667,19.224907666666667,389.91697666666664,232.19626333333335,-275.12534666666664,-255.15149333333332,332.35706666666664,8.868330466666667e-05,-3.5678026333333334e-05,229.86999666666668,221.70826317354417,25.830663166666668,23.437937333333334,22.955233333333336,142.70247564200932,-0.3447558,1992.5
6,871.9381416666666,296.2590133333333,299.02539333333334,0.41813712333333336,0.22917660166666667,0.22975601833333334,0.6084215433333333,48.22261566666666,48.07875933333333,0.004234173733333333,-4.271930883333334e-05,120.89192150000001,205.25733833333334,411.1890183333333,399.44552999999996,187.74979833333336,252.41837666666666,22.464576833333336,106.83211999999999,38.711065999999995,-49.809271,-164.61684166666666,220.48454166666667,19.738147666666666,373.57196500000003,255.30364166666666,-279.2238016666667,-262.20599666666664,316.93701833333336,4.900525866666667e-05,5.083240783333334e-06,127.0252145,122.51314728928264,25.875396833333337,23.109019166666666,6.902353950000001,23.247871969865326,-0.6644910126666667,1992.5
7,1197.9114166666666,295.4642216666667,298.90230833333334,0.273998095,0.18871456,0.22062820000000002,0.49915313499999997,43.7709745,43.648765,0.00302641455,-4.38561365e-05,139.941205,210.06438333333335,405.3223083333333,394.265815,204.09421166666667,258.46525,24.12048,109.675269,44.647366166666664,-55.03391083333333,-179.45070833333332,226.2900066666667,24.676359833333333,379.56306666666666,264.98996166666666,-282.48788666666667,-276.39048833333334,322.32831000000004,3.502789216666667e-05,2.2446548166666665e-05,90.79243883333334,87.56973102208576,25.752314000000002,22.314224333333332,11.400525333333334,-11.156723394825045,0.45171230000000007,1992.5
8,1507.8192999999999,295.4811583333333,299.82235,0.3136829016666666,0.14410909166666666,0.19705592833333332,0.4979806783333333,42.5878385,42.48060516666667,0.00218318225,-4.500829133333333e-05,159.04983666666666,220.25818166666667,407.37729833333333,397.93117,225.88194,273.897125,26.547614499999998,112.55663233333333,48.54035316666667,-57.31866483333334,-197.81548666666666,238.8577283333333,35.182638,402.6417533333333,267.4947583333333,-285.17987666666664,-300.77021833333333,341.37809999999996,2.5267453416666667e-05,3.24642319e-05,65.495468,63.1686331568441,26.67235816666667,22.331166333333332,33.275456999999996,-17.64840124663897,1.5358657783333332,1992.5
9,1678.9787,295.4807016666667,300.75531,0.41032730166666664,0.12608603433333335,0.18271800333333332,0.548980935,43.67513066666667,43.56885966666667,0.0021620497833333336,-4.5453328333333334e-05,178.638645,242.25417333333334,411.1753716666667,402.698915,246.64308833333334,295.1396383333333,29.2800215,113.66965583333332,50.71558983333333,-58.7271585,-213.77497000000002,254.70346833333335,47.66905383333333,425.53191833333335,262.7524016666667,-284.72928333333334,-320.0779333333333,360.470435,2.50239405e-05,3.7994549333333334e-05,64.86149433333334,62.55985075161637,27.605316,22.330703666666665,57.32553116666667,4.495058754342608,1.7206700666666668,1992.5
10,1924.8204666666668,295.31406499999997,300.99135,0.4956666733333333,0.1187936115,0.180567895,0.598994535,44.128435833333334,44.00749149999999,0.0028221993916666666,-4.4927912333333337e-05,182.171575,254.96530666666663,411.920505,403.49735833333335,252.11365333333333,305.39878833333336,30.156290833333333,112.35551966666667,52.079956,-60.1371805,-216.55583166666668,261.3513066666667,51.176055,434.8153466666667,256.0456633333333,-284.4793,-323.2573966666667,367.3774516666667,3.266355016666667e-05,2.8013693833333335e-05,84.66597966666666,81.65887455409877,27.841354166666665,22.164072333333333,67.2117315,35.57078683640672,0.9442990543333334,1992.5
