mes,cbh (m) (Cloud base height),d2m (K) (2 metre dewpoint temperature),t2m (K) (2 metre temperature),hcc ((0 - 1)) (High cloud cover),lcc ((0 - 1)) (Low cloud cover),mcc ((0 - 1)) (Medium cloud cover),tcc ((0 - 1)) (Total cloud cover),tcw (kg m**-2) (Total column water),tcwv (kg m**-2) (Total column vertically-integrated water vapour),tp (m) (Total precipitation),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)",avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_slhtf (W m**-2) (Time-mean surface latent heat flux),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),"avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)",avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),tp_mm (mm) (Total precipitation),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),t2m (°C) (2 metre temperature),d2m (°C) (2 metre dewpoint temperature),balanc_earth (W m**-2) (earth_balance),balanc_atmos (W m**-2) (atmospheric_balance),balanc_surface (W m**-2) (surface_balance),ano
1,747.376354,296.20466999999996,298.606964,0.7955151380000001,0.335617862,0.44006151400000004,0.894550836,54.3395926,53.976270799999995,0.012022758980000001,-3.9141948e-05,89.00657700000001,262.890344,418.080462,400.3633,173.328432,302.863728,22.029817,97.8857736,30.7069096,-47.618815999999995,-148.662052,259.54495,22.038078000000002,430.072812,203.723792,-267.937688,-257.19673,366.53413,0.00013915206919999998,-8.9793122e-05,360.682762,347.88017364917323,25.4569704,23.0546752,53.472943,305.43605286059903,-1.96871036,1998.0
2,805.6182719999999,296.150404,298.725666,0.714687632,0.31905892599999996,0.429521142,0.851612278,53.9363182,53.6273566,0.010401401000000001,-4.12149334e-05,102.49580800000001,271.44185200000004,417.96721799999995,401.010392,185.669728,311.518456,23.4908992,103.0699472,31.873806000000002,-48.07162580000001,-159.409962,267.002954,24.9335628,439.524004,213.83518400000003,-269.606986,-270.11510200000004,375.361252,0.00012038557799999999,-6.765779386e-05,312.042036,300.96394948486704,25.575671399999997,23.000408999999998,56.279923,254.641277976078,-0.467353814,1998.0
3,834.638574,296.307002,298.439098,0.8021516280000001,0.33939719199999996,0.507107668,0.910151224,56.132122,55.734497,0.01287395,-3.89671862e-05,83.66187620000001,268.875686,419.087302,401.235628,168.532096,309.23931200000004,21.603923400000003,97.448686,28.945342800000002,-45.9429958,-144.97459199999997,265.650874,19.652506,437.08041999999995,202.803166,-267.737702,-255.34733799999998,374.03407400000003,0.0001490029,-9.806627e-05,386.218496,372.50725290505216,25.289105,23.1570066,52.544174399999996,328.67468454567717,-1.071940608,1998.0
4,731.487558,296.599644,298.63122,0.8083259119999999,0.36355052,0.450464756,0.9106506440000001,56.278171199999996,55.895165,0.012154124399999999,-3.81005154e-05,81.144215,253.685302,419.663596,402.27155200000004,162.571374,293.174576,20.812347,95.2815188,28.405019199999998,-44.9677474,-140.682128,253.29536,17.9187118,417.04547600000006,204.154428,-269.102736,-246.63626400000004,357.47754199999997,0.00014067188,-8.85249478e-05,364.623732,351.67970418115146,25.4812256,23.449646,42.4818356,299.8031447329093,-0.9231201199999999,1998.0
5,654.6826699999999,296.612804,298.627034,0.685767828,0.36693401999999997,0.375741144,0.828801192,54.1444522,53.85917379999999,0.009671132039999999,-3.81368678e-05,88.27435840000001,228.285522,417.568928,401.24186599999996,162.620194,269.147474,20.4071812,95.372674,30.009098800000004,-45.549080200000006,-141.75579399999998,234.161346,16.930827,389.755944,220.89829799999998,-272.105076,-242.58695200000003,333.615088,0.00011193309499999999,-5.498533800000001e-05,290.133964,279.8327332129702,25.4770384,23.4628114,21.6886564,206.7055245032534,-0.556808474,1998.0
6,853.4607659999999,296.252752,298.98274000000004,0.400109594,0.252762602,0.24349106800000003,0.6167867100000001,47.918203399999996,47.7675016,0.00444145596,-4.2074704e-05,121.773222,209.721002,410.97673599999996,398.471522,187.450056,253.77322800000002,22.525744,105.220029,38.4697518,-50.2657728,-164.41275000000002,221.74293400000002,21.0066532,373.531416,255.73830400000003,-279.83261600000003,-262.18958000000003,318.38497399999994,5.14044366e-05,7.3363031800000005e-06,133.2436832,128.51109158873442,25.832745,23.1027588,6.4512788400000005,30.026025365589884,-0.28368377709,1998.0
7,1039.116988,295.790548,298.98664399999996,0.32291026,0.222301678,0.24490295199999998,0.5643261660000001,45.27508,45.1366632,0.0037207462400000004,-4.2841093e-05,135.108902,214.490666,407.949298,395.694272,199.416122,259.267102,23.7394,107.136905,42.104671,-53.5915964,-175.389632,227.12374799999998,26.0325758,379.66161,260.39564,-281.53689599999996,-273.34523,324.31462999999997,4.30632866e-05,1.46780014e-05,111.622387,107.6582148016314,25.8366516,22.6405518,12.949584999999999,13.355417865596246,0.11547851999999996,1998.0
8,1320.70026,296.008086,299.893824,0.30632047,0.175586644,0.20442024600000003,0.508380848,43.934241,43.8135834,0.00281125184,-4.54499462e-05,156.145958,225.382138,409.262442,399.098188,221.98131199999997,274.953592,26.2436038,113.6608088,45.8332974,-55.33202,-194.509874,239.93795,33.7860818,402.791608,265.699528,-284.470102,-298.68219,343.63890200000003,3.25372588e-05,2.5069658200000003e-05,84.3375542,81.34314703056589,26.743829599999998,22.8580932,32.9826662,-0.5646822541020817,1.22968598,1998.0
9,1612.07238,295.756746,300.77147,0.37840136599999996,0.15095349460000002,0.187445708,0.525740158,43.9113658,43.789124400000006,0.00304259866,-4.57505476e-05,178.96401799999998,248.672424,411.93012,402.955442,244.5103,296.834558,29.1357028,114.41272920000002,49.6926674,-58.2160036,-212.04765600000002,256.320782,46.5564524,425.619276,263.79643799999997,-286.280062,-318.975544,362.69957400000004,3.52143624e-05,2.3832880619999998e-05,91.2779594,88.03590685602103,27.621478000000003,22.6067502,55.1791014,27.416474025210483,1.3858078040000001,1998.0
10,1859.7741600000002,295.695692,300.901858,0.512284542,0.14435057,0.18040587000000002,0.619434388,45.02742,44.906134,0.0032081721699999998,-4.68922116e-05,183.42371599999998,261.421058,412.78201,403.912028,251.199382,306.73537999999996,30.261539199999998,117.267727,50.194345,-58.630229799999995,-215.857926,262.683426,46.92924,434.79224400000004,256.269128,-283.95876200000004,-323.701676,369.649834,3.71302552e-05,2.143607337e-05,96.2451624,92.82563769374974,27.7518616,22.545697,67.4325432,41.5238447860349,1.4666122510000001,1998.0
