time,mes,tp_mm (mm) (Total precipitation),hcc ((0 - 1)) (High cloud cover),avg_tprate_W (W m**-2) (Time-mean total precipitation rate),balanc_earth (W m**-2) (earth_balance),cbh (m) (Cloud base height),avg_sdswrf (W m**-2) (Time-mean surface downward short-wave radiation flux),avg_vimdf (kg m**-2 s**-1) (Time-mean total column vertically-integrated moisture divergence flux),balanc_atmos (W m**-2) (atmospheric_balance),"avg_tnswrfcs (W m**-2) (Time-mean top net short-wave radiation flux, clear sky)","avg_snswrfcs (W m**-2) (Time-mean surface net short-wave radiation flux, clear sky)",avg_slhtf (W m**-2) (Time-mean surface latent heat flux),tcc ((0 - 1)) (Total cloud cover),"avg_tnlwrfcs (W m**-2) (Time-mean top net long-wave radiation flux, clear sky)",avg_snswrf (W m**-2) (Time-mean surface net short-wave radiation flux),avg_tnlwrf (W m**-2) (Time-mean top net long-wave radiation flux),avg_sdirswrf (W m**-2) (Time-mean surface direct short-wave radiation flux),tcwv (kg m**-2) (Total column vertically-integrated water vapour),balanc_surface (W m**-2) (surface_balance),avg_tprate (kg m**-2 s**-1) (Time-mean total precipitation rate),"avg_sdirswrfcs (W m**-2) (Time-mean surface direct short-wave radiation flux, clear sky)","avg_sdlwrfcs (W m**-2) (Time-mean surface downward long-wave radiation flux, clear sky)",d2m (K) (2 metre dewpoint temperature),avg_ie (kg m**-2 s**-1) (Time-mean moisture flux),"avg_snlwrfcs (W m**-2) (Time-mean surface net long-wave radiation flux, clear sky)",lcc ((0 - 1)) (Low cloud cover),avg_snlwrf (W m**-2) (Time-mean surface net long-wave radiation flux),mcc ((0 - 1)) (Medium cloud cover),tp (m) (Total precipitation),avg_sdlwrf (W m**-2) (Time-mean surface downward long-wave radiation flux),"avg_sdswrfcs (W m**-2) (Time-mean surface downward short-wave radiation flux, clear sky)",avg_ishf (W m**-2) (Time-mean surface sensible heat flux),tcw (kg m**-2) (Total column water),t2m (K) (2 metre temperature),avg_tnswrf (W m**-2) (Time-mean top net short-wave radiation flux),avg_sduvrf (W m**-2) (Time-mean surface downward UV radiation flux),avg_tdswrf (W m**-2) (Time mean top downward short-wave radiation flux),d2m (°C) (2 metre dewpoint temperature),t2m (°C) (2 metre temperature)
1990-01-01,1,-108.15094363636365,-0.019646910000000073,-104.31608064788054,8.564616545454541,1.7594118181820022,20.752470000000017,4.069980936363637e-05,-106.76031220139177,1.197471818181839,1.542683636363563,10.219291090909081,-0.03300096545454545,-2.3683272727272993,-17.914208181818196,10.227257272727286,20.661785999999992,-1.4572721818181833,0.7895549586363636,-4.172642918179999e-05,4.470952727272731,0.7576336363636642,0.0009109090909191764,-4.086186090909095e-06,-1.3184299999999993,-0.05678568272727269,3.8764129090909094,-0.14897316,-0.003605031536363601,-1.899984545454572,1.7293990909091121,3.0289475454545496,-1.579215454545455,0.31854363636358585,-18.791879090909106,2.2500643636363584,0.17215636363636122,0.000913181818180675,0.318545363636364
1990-02-01,2,12.178599090909131,0.14316156272727265,11.74429764267353,16.248363545454538,169.9433763636365,-5.581824545454509,-6.33305706363637e-06,29.255799995301402,1.1955036363636395,0.6300063636363689,-1.4194988181818076,0.07505871545454545,1.8144854545454905,4.908633636363646,-21.517442727272766,-12.164312727272744,1.2016958181818111,0.1563588818181818,4.697719909100011e-06,2.993351818181793,0.4336981818182153,0.04023363636360955,5.675210909090935e-07,0.8624754545454607,-0.029833259090909114,-0.9600738181818187,0.019465018181818228,0.0004059533090909999,0.5257672727273075,0.6181599999999889,-2.685417181818181,1.2091310909090893,-0.29626272727279,5.269077272727259,-0.34643554545454336,0.13413545454545783,0.040229909090911065,-0.29625854545454544
1990-03-01,3,-36.02131727272729,0.018128737272727236,-34.73938539338468,6.923261636363634,-12.641304545454659,4.543292727272785,9.260099545454551e-06,-30.120340829397634,0.9873318181818149,0.8913545454545897,1.7047818181818144,-0.005573316363636338,-1.3329963636363686,-3.798392727272727,-2.5605145454545095,1.0103726363636412,-0.5785611818181877,0.5994311245454544,-1.38957553636e-05,3.0114309090909046,1.0367054545454266,0.1118581818182065,-6.814827272727284e-07,0.06102018181818636,-0.025902280909090913,1.2059163636363586,-0.1022006427272727,-0.0012007102727271991,-0.3266290909090799,0.9682236363636321,0.2882591818181801,-0.6135639090908995,0.10498272727272706,-4.36274727272729,0.5383606363636382,0.17992272727269665,0.1118580909090916,0.10498090909091218
1990-04-01,4,-54.637435454545425,0.06884193636363634,-52.69968989358114,8.520172181818182,-67.91622272727273,5.548839999999984,1.5502499e-05,-47.400314879709526,1.1280845454544988,0.8412518181818314,2.682357454545482,0.025673570909090948,-2.854293636363593,-4.77885454545455,-2.560178181818145,2.431595454545459,-0.41161163636363085,0.5384306509090908,-2.1079875000000006e-05,3.0784145454545637,2.261742727272747,0.1415154545455266,-1.0726643636363626e-06,0.39276954545454856,0.0017881345454546227,0.8809529999999981,-0.1210252963636364,-0.001821247518181801,0.9279600000000414,0.8993199999999888,0.6771037272727227,-0.49058490909092,0.11545545454544026,-5.959995454545435,0.6576650909090915,0.2488299999999981,0.14152099999999734,0.11545054545454647
1990-05-01,5,-97.1833290909091,-0.14263493545454542,-93.73449343415405,-3.402221545454541,38.02816818181816,19.949140909090914,3.6372423090909086e-05,-106.51060469014652,0.9526354545454296,1.6388763636363706,9.282453636363641,-0.10460782363636378,-5.504063636363583,-17.507260909090917,21.134485454545484,24.133192545454534,-2.9456399090909073,0.09143481909090911,-3.749380118181818e-05,3.9860836363635883,0.93722272727274,0.029762727272725442,-3.7117440909090925e-06,-2.010277181818182,-0.048080477272727296,4.158825909090908,-0.1093286309090909,-0.0032394446090908994,-1.2652654545454993,1.8675799999999754,3.9745492727272733,-3.0376034545454615,0.29211090909092263,-17.732261818181826,2.171576181818182,0.23601999999999634,0.029760272727269665,0.29211136363636214
1990-06-01,6,-15.82697118181818,0.007615608181818223,-15.262804192223669,-3.605370309090908,-116.38393454545451,-0.9206818181818051,1.110974945454545e-06,-19.559955931170737,1.0485599999999522,0.5003118181818422,0.10623863636364206,0.016215808181818225,-0.7209345454545542,0.8069227272727062,3.5779445454545282,-1.2922686363636444,0.25385645454545624,0.5855435446772727,-6.105121090909093e-06,2.2277936363636,0.46522090909093095,0.06906272727275109,-4.2653363636357164e-08,1.0035198181818146,0.012474489090909091,-1.0090357272727246,-0.028007462727272697,-0.0005275656272726997,0.4739736363636098,0.4949418181817862,-0.4896750909090919,0.2485335454545492,-0.33904545454544177,0.027434545454468662,-0.10717409090909058,0.14180636363636268,0.06905845454545556,-0.3390416363636426
1990-07-01,7,57.640002909090924,0.04633565272727275,55.59626515605487,-4.637373363636365,-474.40573090909095,-17.345447272727284,-2.9549280545454544e-05,54.12469505440359,1.018847272727271,-0.329669999999993,-2.044577181818198,0.10046338999999993,3.5080181818182155,15.356044545454552,-7.999823636363601,-23.445583636363622,2.1788546363636314,-1.1212206636363635,2.223850581818182e-05,1.0431499999999971,-1.4429136363636417,0.183648181818171,8.176900909090883e-07,3.3621163636363605,0.12345683818181818,-6.649575636363636,0.013119481818181816,0.0019213331363637002,2.002225454545453,-0.46682818181818675,-5.5406706363636395,2.210661181818182,-1.027542727272703,12.637200000000007,-1.8249568181818105,0.037100909090895584,0.18365500000000168,-1.0275572727272717
1990-08-01,8,-6.375872636363638,-0.02066137181818184,-6.150461641399573,-1.6922662727272773,-140.62349090909106,0.044562727272762004,6.3929959636363575e-06,-15.732783501973083,0.9527627272727273,0.9565918181818347,7.473079272727276,-0.009092308181818165,-0.07038818181820261,0.007085454545460834,2.4912954545454795,-0.3761618181817994,-0.7118543636363626,0.41697415727272746,-2.4601844090909098e-06,2.993607272727246,-2.8312627272726445,0.07562909090904668,-2.988246454545451e-06,0.8161644545454578,0.032244789999999995,-1.058271272727275,-0.021100205454545412,-0.00021252922727270016,-2.5305118181818216,1.0430127272726963,-6.838868727272725,-0.7241126363636425,-0.7091781818181744,-0.7990354545455034,0.01411018181817525,0.007350909090973801,0.07562245454545646,-0.7091781818181779
1990-09-01,9,5.633831545454541,-0.011910492727272737,5.436908374824938,-5.021634272727276,-319.7295363636365,-7.031989090909093,3.164368090909138e-07,-5.321832830563919,1.1578599999999142,0.08658909090908651,5.628593545454564,0.0190974245454546,1.1483527272727656,6.027687272727292,0.6618563636363888,-7.437241818181832,0.987879999999997,0.1085114527272728,2.1747635454545477e-06,1.9624099999999771,-1.3229181818181814,0.4383236363636911,-2.2505169999999946e-06,3.2590593636363607,0.0462426646363637,-3.8547010909090957,-0.014665810000000001,0.00018779432727280025,-0.7935890909091086,-0.005606363636388778,-7.910083909090922,0.9880467272727245,-0.8522254545454757,4.359777272727285,-0.5907360909090897,0.0633536363636722,0.4383206363636418,-0.8522253636363644
1990-10-01,10,-46.621867545454535,-0.034848250000000025,-44.96442649972529,2.616854545454558,336.2023363636358,14.968584545454547,2.845145365e-05,-44.80593415131443,1.2823072727272802,1.4574645454545703,0.45980881818182695,-0.046876577272727205,-3.7017381818182002,-13.062168181818151,9.79710181818183,22.1096,-0.3110993636363659,1.9985531562727272,-1.7985770636363637e-05,4.421640909090911,3.1432554545455105,-0.1449718181818298,-1.838673636363601e-07,-1.0185190909090878,-0.046596780818181804,3.089914909090915,-0.031652197272727195,-0.0015540623636363,0.7324618181818323,1.5999699999999848,7.513890454545454,-0.34514499999999515,0.48767818181818257,-12.413958181818145,1.742988999999998,0.1496845454545337,-0.14497209090908925,0.48768427272727166
